Date,Time,Open,High,Low,Close,Volume
1/20/2017,14:08:00,8369,8371.65,8368.85,8371.65,42225
1/20/2017,14:09:00,8369.9,8370.9,8366.5,8366.75,30825
1/20/2017,14:10:00,8365.95,8367.95,8365.95,8367.95,11925
1/20/2017,14:11:00,8367.7,8367.95,8366.45,8366.95,15450
1/20/2017,14:12:00,8366.95,8366.95,8361.3,8361.3,36375
1/20/2017,14:13:00,8361.3,8363,8360.95,8362.5,26250
1/20/2017,14:14:00,8362.5,8363.9,8362,8362.5,18975
1/20/2017,14:15:00,8362.75,8363.2,8361,8361.6,16725
1/20/2017,14:16:00,8361.6,8361.6,8355.6,8359.95,79575
1/20/2017,14:17:00,8358.95,8360,8357.95,8360,16875
1/20/2017,14:18:00,8359.95,8362.1,8359.5,8361.75,49725
1/20/2017,14:19:00,8362.05,8362.05,8359,8359,26925
1/20/2017,14:20:00,8359,8360.5,8358.75,8360.5,8025
1/20/2017,14:21:00,8360.05,8363.6,8360.05,8362.8,33300
1/20/2017,14:22:00,8362.8,8365,8362.4,8363.65,24225
1/20/2017,14:23:00,8363.65,8363.65,8360.3,8360.6,10200
1/20/2017,14:24:00,8360.6,8361,8356.45,8358.45,36150
1/20/2017,14:25:00,8358.9,8363.35,8357.8,8363.35,20475
1/20/2017,14:26:00,8363.35,8364,8361.65,8362.75,17250
1/20/2017,14:27:00,8362.75,8364,8361,8361,10800
1/20/2017,14:28:00,8361,8361.75,8356.05,8358.95,29400
1/20/2017,14:29:00,8359,8360,8357.1,8358.85,16650
1/20/2017,14:30:00,8357.7,8357.85,8354.45,8356,92100
1/20/2017,14:31:00,8356,8358.8,8354.2,8358.7,40125
1/20/2017,14:32:00,8358.25,8359.9,8357.35,8359.6,27525
1/20/2017,14:33:00,8359.25,8360,8356,8358.25,54000
1/20/2017,14:34:00,8358.25,8361.4,8358.25,8359.25,17400
1/20/2017,14:35:00,8359.5,8362.55,8358,8362.4,13425
1/20/2017,14:36:00,8362.4,8363.8,8358.5,8363.8,18900
1/20/2017,14:37:00,8362.25,8362.9,8362.25,8362.25,15300
1/20/2017,14:38:00,8359.45,8360.7,8359,8360.3,20475
1/20/2017,14:39:00,8360.2,8360.95,8358.25,8358.35,11700
